id;adres;numer_kontaktowy;data_wysylki;dostawca
1;invoice Inlet;virtual;2021-01-08T20:50:09;Turkey Spur connect
2;Bike Bulgarian Lev South Dakota;Wooden;2021-01-09T18:54:48;Rustic Granite Computer
3;streamline;Arizona Jewelery;2021-01-08T23:34:06;SCSI bluetooth Sleek Cotton Shirt
4;value-added Bahamian Dollar;deliverables PCI;2021-01-09T15:53:13;Small Frozen Fish
5;Accounts;Vision-oriented Movies SMTP;2021-01-08T19:52:19;Gibraltar Pound capacitor back up
6;Manat Liaison;China Metal redefine;2021-01-09T15:01:49;paradigms Savings Account
7;Awesome benchmark;Metal;2021-01-09T01:44:42;seize
8;framework Senior systemic;Marketing Investment Account Supervisor;2021-01-09T11:14:08;Global Frozen
9;withdrawal customized;payment Computers quantifying;2021-01-09T10:15:12;context-sensitive Ohio Licensed Rubber Sausages
10;Future;Inlet Saint Kitts and Nevis;2021-01-09T15:13:17;Clothing
