id;nazwa;cena;opis;moc;dostepnosc;pojemnosc
1;North Carolina Yen system;97203;Global out-of-the-box benchmark;Cedi;Small red;bleeding-edge purple Lead
2;hack;21264;bricks-and-clicks;Investor scale;Virtual Clothing;cyan Personal Loan Account
3;Yuan Renminbi;79001;Shirt Generic Soft Car;functionalities Orchestrator policy;Chief Barbados Dollar;programming
4;Electronics;51154;Heard Island and McDonald Islands Awesome Steel Sausages;Small Rubber Shirt leverage Global;Bedfordshire Officer Up-sized;Route Industrial
5;Coordinator green;24837;5th generation;bi-directional Usability;project Shore Massachusetts;out-of-the-box Liaison
6;synthesizing 1080p;34224;B2C hack SCSI;Bike;SMS connect;Facilitator
7;Auto Loan Account Unbranded action-items;34943;e-enable 6th generation;Designer Health;ivory Associate;Oklahoma
8;algorithm;11446;quantify Estate Metal;synthesize;EXE cross-platform needs-based;TCP connecting
9;Representative;33718;wireless;Steel Movies;Brook Object-based;hacking
10;Electronics Re-engineered;21441;Iceland Krona CSS;Squares;core pixel;Auto Loan Account
